review_id,business_id,user_id,user_name,rating,text,time_created,url,sentiment
s_vGP1ugfmFoPwaRFnphFA,nU1wX9Zpy6aItwgF4W448Q,1EOMCj52WNXC_XEc3_mbnQ,Laura C.,5,"Morans Performance detailing is the best service around. Whether you're wanting a one-time detail or a routine cleaning, I believe that everyone needs a...",2024-11-08 17:29:17,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=s_vGP1ugfmFoPwaRFnphFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
Dfu-YP5hF-yTHo5a_MV2mA,nU1wX9Zpy6aItwgF4W448Q,uL6fXagvRyR1N4ObhEo_2g,Debra L.,5,"Wow, this company is great!  The technician arrived on time and detailed the inside of my husband's truck.  Logan did an outstanding job!!!  He even got all...",2024-12-10 08:03:03,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=Dfu-YP5hF-yTHo5a_MV2mA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
btF1CDr_5Ha6Ewwim2EdZg,nU1wX9Zpy6aItwgF4W448Q,rZjzFeWf8EAQt_nOT_a1fA,Debra D.,5,cleaned my car inside and. out thoroughly.  I was highly impressed by the professionalism and the quality work.,2025-02-18 19:06:05,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=btF1CDr_5Ha6Ewwim2EdZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
zQqX-7hueWrtC3d3ULb6Fg,nU1wX9Zpy6aItwgF4W448Q,y6301EAI1QpoQRyN0HhJEw,Jeannie M.,5,"My car looks brand new inside, which is no small feat when you have a toddler that has been wrecking it for the past year. He did an awesome job and...",2024-03-14 10:17:45,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=zQqX-7hueWrtC3d3ULb6Fg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
0U00e9zfRRR1is6tGYwp9w,nU1wX9Zpy6aItwgF4W448Q,kSvCQ6oniSN0Ng7KN8HuAA,Seph G.,5,"Spoke directly with the owner. Unique cleaning situation in our car that required deep interior cleaning and deep disinfecting. No problem.
Moran is...",2023-04-08 10:53:18,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=0U00e9zfRRR1is6tGYwp9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
Co8YUL-A755kw8Et--3RwQ,nU1wX9Zpy6aItwgF4W448Q,eWXrG56B6yhjXM2L-EqhYQ,Bruce J.,5,I was in the process of giving my car to my son and waited way too long to schedule an appointment to have it detailed. Michael sensed my desperation and...,2022-08-24 09:41:22,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=Co8YUL-A755kw8Et--3RwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
Cbdr-F284R3bRmWXs-OXYA,nU1wX9Zpy6aItwgF4W448Q,O8DuIukMEqcHFZw0rseciA,Sara D.,5,Michael did a fantastic job with our cars. We have a toddler so it was no small feat. Cars both looked brand new inside and out. Highly recommend!,2023-01-11 15:11:21,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=Cbdr-F284R3bRmWXs-OXYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
b61OU5Npl0-d2OpuAvYbUw,Sjyry-L-McKP5FMn_s07uA,fz_iXKP4WO_qCTmDymeDCw,Joel L.,5,Absolutely stellar job cleaning my small car! This owner operator business provided perfect service. Very competitive prices worth every penny for the job...,2025-08-01 09:21:12,https://www.yelp.com/biz/a-and-a-diamond-shine-mobile-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=b61OU5Npl0-d2OpuAvYbUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
G25LDRv0GRaY_-Y4vt2rVg,Sjyry-L-McKP5FMn_s07uA,WFN7Y0ynasscrRAzl2TkLQ,Cindy C.,5,We got an Amazing detailing of our 17 year old car. J paid attention to every detail and made the interior look brand new.  I was actually shocked at how...,2025-05-16 11:41:01,https://www.yelp.com/biz/a-and-a-diamond-shine-mobile-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=G25LDRv0GRaY_-Y4vt2rVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
fC5MPLGHaEoVhgPtHkEs9A,Sjyry-L-McKP5FMn_s07uA,X0OuRTq9I5Tv-B4r2F5i0g,Reggie B.,5,"A&A Diamond did a phenomenal job on our Sedona minivan, we purchased it used and were looking to have it professionally detailed and A&A delivered the...",2024-06-30 19:52:34,https://www.yelp.com/biz/a-and-a-diamond-shine-mobile-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=fC5MPLGHaEoVhgPtHkEs9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
