review_id,business_id,user_id,user_name,rating,text,time_created,url,sentimiento
RVqD4VCRmtg2LBsNSAZavA,zcEswfjucV8Sey4C6Yk6xA,3TKjGnpshsaqXtcIF4IcKA,Shelley H.,5,Steve has been performing incredibly good work with washing and detailing our cars. I park my car in tge driveway and had brought upbhaving my car ceramic...,2025-09-04 09:30:05,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=RVqD4VCRmtg2LBsNSAZavA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
hmsicRamxiLRwi14TQ1e-g,zcEswfjucV8Sey4C6Yk6xA,jMYfoT5HnA1XGVQQSxu4bQ,Scott T.,5,My wife and I are very satisfied by the great work done by A Pampered Auto on the full exterior and interior car cleaning of her car. This was a birthday...,2025-08-27 07:48:51,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=hmsicRamxiLRwi14TQ1e-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
-3XttkYE9j1GLeFKdchIlg,zcEswfjucV8Sey4C6Yk6xA,m4MKIQXovP7sr79P29AG6A,Shawn B.,5,"Steve was the consummate professional in every way. He was a few minutes early, extremely  courteous, called clear balls and strikes on the condition of my...",2025-04-12 08:19:17,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=-3XttkYE9j1GLeFKdchIlg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
G4HydFGHTygcCEQl6U8HTA,zcEswfjucV8Sey4C6Yk6xA,hDdihKfj30L6BW-pS6u-MA,Dave S.,5,Steve just did an absolutely amazing job ceramic coating my Hyundai Ioniq 5. It looks better than it did on the showroom floor!  Excellent quality at a...,2025-05-02 08:22:16,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=G4HydFGHTygcCEQl6U8HTA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
WVSclhrHmqtC4IB5_Lizmg,zcEswfjucV8Sey4C6Yk6xA,Tqlkz8u59z45Eq-v6keodg,Annabel B.,5,Great quality work at a great price. On time and professional. Steve and the team are amazing,2025-07-25 09:04:36,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=WVSclhrHmqtC4IB5_Lizmg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
o_LfK1Fq_N8a2_luJprObQ,zcEswfjucV8Sey4C6Yk6xA,CcS1CJMD1aVuiw9iRKUoMg,Matthew C.,5,Great communication and pricing! They were super prompt and helpful. The car looks great and it was super convenient since they drove to my workplace.,2025-07-02 08:56:34,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=o_LfK1Fq_N8a2_luJprObQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
_6oevZclGS2b6SunPil-Tg,zcEswfjucV8Sey4C6Yk6xA,4zFqGRnelSgMfTCLJwV6rw,Mimi M.,5,"Amazing job Steve!! Showed up on time, took a few hours and detailed my very dirty Jeep. I have 2 dogs and visit the beach often...and Steve got it looking...",2024-08-10 13:15:50,https://www.yelp.com/biz/a-pampered-auto-clearwater-5?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=_6oevZclGS2b6SunPil-Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
kBv82Gysc05d_thDlmWyfA,zFdCktZBLUAAuYTqlktWbg,b3Ce2cqFsluZvHT28wgpoA,Gus C.,5,Ok my pop takes me everywhere and so this pup sheds....a lot.   Like white hair everywhere.  As much as the old man covers the seats his X5 was full of dog...,2025-06-02 11:24:28,https://www.yelp.com/biz/roman-mobile-car-care-clearwater?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=kBv82Gysc05d_thDlmWyfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
jCdOLlJq2fc5IXTbC8RIaA,zFdCktZBLUAAuYTqlktWbg,FmTXeMURieME_LnNcC4w5g,John D.,5,"Brought my IS 500 to Roman who went out of his way to fit me into his schedule. He did a terrific job, car looks better than new. 
If you need someone who...",2025-09-18 16:53:10,https://www.yelp.com/biz/roman-mobile-car-care-clearwater?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=jCdOLlJq2fc5IXTbC8RIaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
14ipod64cqrqBSsQCQEoIQ,zFdCktZBLUAAuYTqlktWbg,ybUKlN92UFI5rpevgRbb4w,Vii H.,5,"Wanted exterior wash, polish, barclay and wax to help with sun and heat exposure im FL weather. Got a great and very professional experience! Very...",2025-05-30 15:16:38,https://www.yelp.com/biz/roman-mobile-car-care-clearwater?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&hrid=14ipod64cqrqBSsQCQEoIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,positivo
