business_id,name,address,city,state,zip_code,phone,categories,rating,review_count,price,latitude,longitude,url,source_city_query,source_variant,source_sort_by
nU1wX9Zpy6aItwgF4W448Q,Moran's Performance Detailing,"155 Tresca Rd Unit 211 Jacksonville, FL 32225",Jacksonville,FL,32225,(904) 717-7127,Auto Detailing,5.0,10,,30.3251292,-81.5384254,https://www.yelp.com/biz/morans-performance-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
Sjyry-L-McKP5FMn_s07uA,A&A Diamond Shine Mobile Detailing,"Jacksonville, FL 32257",Jacksonville,FL,32257,(904) 701-2880,"Auto Detailing, Pressure Washers",4.6,18,,30.195194959878645,-81.61233182046469,https://www.yelp.com/biz/a-and-a-diamond-shine-mobile-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
6rlpNFyPkJlxgSnINrXy1g,HOD Auto Detailing ,"Jacksonville, FL 32210",Jacksonville,FL,32210,(904) 762-7042,"Auto Detailing, Car Wash",0.0,0,,30.265577,-81.744621,https://www.yelp.com/biz/hod-auto-detailing-jacksonville-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
35JXgYgGLmtHXq5lXhHHyw,Jacksonville Mobile Auto Detailing,"Jacksonville, FL 32211",Jacksonville,FL,32211,(904) 729-9227,Auto Detailing,4.8,12,,30.33155,-81.6013,https://www.yelp.com/biz/jacksonville-mobile-auto-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
wJ2Y-l6_q0DQY7jmmbpBYA,TopDawg Pressure Washing & Auto detailing,"Jacksonville, FL 32223",Jacksonville,FL,32223,(904) 661-9713,"Auto Detailing, Pressure Washers, Car Wash",5.0,1,,30.154886,-81.648153,https://www.yelp.com/biz/topdawg-pressure-washing-and-auto-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
Mko3ERr9_vf7wlh8q9lDGQ,3G's Auto Detailing Center,"2135 A1A S Saint Augustine Beach, FL 32080",Saint Augustine Beach,FL,32080,(904) 364-0808,Auto Detailing,4.6,36,,29.85661,-81.28106,https://www.yelp.com/biz/3gs-auto-detailing-center-saint-augustine-beach-2?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
PUpFwd_HXOJc_YNP7P1arQ,Taylor Mobile Detail,"Jacksonville Beach, FL 32250",Jacksonville Beach,FL,32250,(904) 465-6312,"Car Wash, Auto Detailing",4.8,18,,30.282154083252,-81.3995132446289,https://www.yelp.com/biz/taylor-mobile-detail-jacksonville-beach?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
zeodQvtkjhlCi3yrRiCZYg,Taiyo Mobile Detailing,"11390 Square St Ste 1118 Jacksonville, FL 32256",Jacksonville,FL,32256,(904) 866-1324,"Auto Detailing, Car Wash",5.0,1,,30.16497,-81.50687,https://www.yelp.com/biz/taiyo-mobile-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
-l56aHWBmhdnKnptckvqIQ,Jax Mobile Detailing,"Jacksonville, FL 32246",Jacksonville,FL,32246,(904) 789-5990,Auto Detailing,5.0,1,,30.293986,-81.517974,https://www.yelp.com/biz/jax-mobile-detailing-jacksonville-4?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
EDdUT2Z-ROOFCZfZFbjMQg,Caldwell Detailing,"Jacksonville, FL 32221",Jacksonville,FL,32221,(904) 521-9633,"Auto Detailing, Car Wash",5.0,8,,30.28447151,-81.83174133,https://www.yelp.com/biz/caldwell-detailing-jacksonville?adjust_creative=3Vjjfzi-KamsmIGS_ogwEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3Vjjfzi-KamsmIGS_ogwEQ,Jacksonville,term=car detailing,best_match
